"id","keyword","cluster","content_type","target_calculator","primary_url","related_links","backlink_from","search_intent","priority","status","week","scheduled_order","slug","angle"
"1","how much does a concrete slab cost per square foot","concrete","Blog","concrete-slab-calculator","/tools/concrete/concrete-slab-calculator.html","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/","Commercial","High","Done","1","1","how-much-does-a-concrete-slab-cost-per-square-foot","4 vs 6 inch cost breakdown, ready-mix vs bags"
"2","how many bags of concrete do i need for a 10x10 slab","concrete","Blog","concrete-slab-calculator","/tools/concrete/concrete-slab-calculator.html","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/","Informational","High","Done","1","2","how-many-bags-of-concrete-do-i-need-for-a-10x10-slab","80lb/60lb bag count with 10% waste"
"3","how to calculate concrete for a footing","concrete","Blog","concrete-footing-calculator","/tools/concrete/concrete-footing-calculator.html","/tools/concrete/concrete-footing-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-footing-calculator.html | /tools/concrete/","Informational","High","Done","1","3","how-to-calculate-concrete-for-a-footing","formula + step example"
"4","concrete bag vs ready mix cost calculator","concrete","Blog","concrete-slab-calculator","/tools/concrete/concrete-slab-calculator.html","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/","Commercial","Medium","Done","1","4","concrete-bag-vs-ready-mix-cost-calculator","break-even at 1 cubic yard"
"5","how many yards of concrete for a 24x24 slab","concrete","Blog","concrete-slab-calculator","/tools/concrete/concrete-slab-calculator.html","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/","Informational","Medium","Done","2","5","how-many-yards-of-concrete-for-a-24x24-slab","worked example by thickness"
"6","sonotube concrete calculator how many bags","concrete","Blog","sonotube-calculator","/tools/concrete/sonotube-calculator.html","/tools/concrete/sonotube-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/sonotube-calculator.html | /tools/concrete/","Informational","Medium","Done","2","6","sonotube-concrete-calculator-how-many-bags","per post volume"
"7","rebar spacing for concrete slab","concrete","Blog","rebar-calculator","/tools/concrete/rebar-calculator.html","/tools/concrete/rebar-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/rebar-calculator.html | /tools/concrete/","Informational","Medium","Done","2","7","rebar-spacing-for-concrete-slab","grid spacing and laps"
"8","concrete weight per cubic foot","concrete","Blog","concrete-weight-calculator","/tools/concrete/concrete-weight-calculator.html","/tools/concrete/concrete-weight-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-weight-calculator.html | /tools/concrete/","Informational","Low","Done","2","8","concrete-weight-per-cubic-foot","lb per cf and psi context"
"9","cost to pour a concrete driveway 2026","concrete","Blog","concrete-driveway-calculator","/tools/concrete/concrete-driveway-calculator.html","/tools/concrete/concrete-driveway-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-driveway-calculator.html | /tools/concrete/","Commercial","High","Done","3","9","cost-to-pour-a-concrete-driveway-2026","per sq ft + total by region"
"10","stamped concrete cost per square foot","concrete","Blog","stamped-concrete-calculator","/tools/concrete/stamped-concrete-calculator.html","/tools/concrete/stamped-concrete-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/stamped-concrete-calculator.html | /tools/concrete/","Commercial","Medium","Done","3","10","stamped-concrete-cost-per-square-foot","vs plain pour"
"11","how to calculate concrete stairs","concrete","Blog","concrete-stairs-calculator","/tools/concrete/concrete-stairs-calculator.html","/tools/concrete/concrete-stairs-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-stairs-calculator.html | /tools/concrete/","Informational","Medium","Done","3","11","how-to-calculate-concrete-stairs","rise/run/treads"
"12","concrete block wall cost calculator","concrete","Blog","block-calculator","/tools/concrete/block-calculator.html","/tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/concrete-column-calculator.html | /tools/concrete/","/tools/concrete/block-calculator.html | /tools/concrete/","Commercial","Medium","Done","3","12","concrete-block-wall-cost-calculator","per sq ft wall + mortar"
"13","how much concrete do i need for fence posts","concrete","Blog","concrete-footing-calculator","/tools/concrete/concrete-footing-calculator.html","/tools/concrete/concrete-footing-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-footing-calculator.html | /tools/concrete/","Informational","Medium","Planned","4","13","how-much-concrete-do-i-need-for-fence-posts","post hole volume"
"14","how much does a 4 inch concrete slab cost","concrete","Blog","concrete-slab-calculator","/tools/concrete/concrete-slab-calculator.html","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/","Commercial","Medium","Planned","4","14","how-much-does-a-4-inch-concrete-slab-cost","4 vs 6 inch comparison"
"15","concrete delivery cost per yard 2026","concrete","Blog","concrete-slab-calculator","/tools/concrete/concrete-slab-calculator.html","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/","Commercial","Low","Planned","4","15","concrete-delivery-cost-per-yard-2026","short-load fees"
"16","how to finish a concrete slab like a pro","concrete","Blog","concrete-slab-calculator","/tools/concrete/concrete-slab-calculator.html","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/","Informational","Low","Planned","4","16","how-to-finish-a-concrete-slab-like-a-pro","finishing steps"
"17","brick mortar calculator how many bags","concrete","Blog","mortar-calculator","/tools/concrete/mortar-calculator.html","/tools/concrete/mortar-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/mortar-calculator.html | /tools/concrete/","Informational","Low","Planned","5","17","brick-mortar-calculator-how-many-bags","80lb bags per area"
"18","concrete cure time before framing","concrete","Blog","concrete-slab-calculator","/tools/concrete/concrete-slab-calculator.html","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/block-calculator.html | /tools/concrete/brick-calculator.html | /tools/concrete/","/tools/concrete/concrete-slab-calculator.html | /tools/concrete/","Informational","Low","Planned","5","18","concrete-cure-time-before-framing","7/28 day strength"
"19","how much does it cost to roof a 2000 sq ft house","roofing","Blog","roofing-calculator","/tools/roofing/roofing-calculator.html","/tools/roofing/roofing-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roofing-calculator.html | /tools/roofing/","Commercial","High","Planned","5","19","how-much-does-it-cost-to-roof-a-2000-sq-ft-house","total estimate by material"
"20","how to calculate roof pitch multiplier","roofing","Blog","roof-pitch-calculator","/tools/roofing/roof-pitch-calculator.html","/tools/roofing/roof-pitch-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-sheathing-calculator.html | /tools/roofing/","/tools/roofing/roof-pitch-calculator.html | /tools/roofing/","Informational","High","Planned","5","20","how-to-calculate-roof-pitch-multiplier","run/rise formula"
"21","how many squares of shingles for a 1500 sq ft roof","roofing","Blog","shingle-calculator","/tools/roofing/shingle-calculator.html","/tools/roofing/shingle-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/shingle-calculator.html | /tools/roofing/","Informational","High","Planned","6","21","how-many-squares-of-shingles-for-a-1500-sq-ft-roof","squares conversion"
"22","metal roof cost vs shingles 2026","roofing","Blog","metal-roof-calculator","/tools/roofing/metal-roof-calculator.html","/tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/roof-sheathing-calculator.html | /tools/roofing/","/tools/roofing/metal-roof-calculator.html | /tools/roofing/","Commercial","High","Planned","6","22","metal-roof-cost-vs-shingles-2026","25-yr comparison"
"23","roof vent calculation per square foot","roofing","Blog","roof-vent-calculator","/tools/roofing/roof-vent-calculator.html","/tools/roofing/roof-vent-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roof-vent-calculator.html | /tools/roofing/","Informational","Medium","Planned","6","23","roof-vent-calculation-per-square-foot","NFA net free area"
"24","how to calculate roof square footage","roofing","Blog","roofing-calculator","/tools/roofing/roofing-calculator.html","/tools/roofing/roofing-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roofing-calculator.html | /tools/roofing/","Informational","High","Planned","6","24","how-to-calculate-roof-square-footage","measure from ground"
"25","architectural vs 3 tab shingle cost","roofing","Blog","shingle-calculator","/tools/roofing/shingle-calculator.html","/tools/roofing/shingle-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/shingle-calculator.html | /tools/roofing/","Commercial","Medium","Planned","7","25","architectural-vs-3-tab-shingle-cost","warranty/look"
